时间,源MAC地址,源IP地址,目标MAC地址,目标IP地址,登录名,口令,成功与否
2021/5/29 0:29,60-EE-5C-D0-D2-F2,203.121.192.180,0C-DD-24-8B-76-FD,66.192.168.1,student,software,SUCCEED
2021/5/29 0:29,60-EE-5C-D0-D2-F2,203.121.192.180,0C-DD-24-8B-76-FD,66.192.168.1,student,sondfui,FAILD
